Géographie;Date;y
1;2024-01;7283
1;2024-02;6129
1;2024-03;5972
1;2024-04;5679
1;2024-05;5733
1;2024-06;5634
1;2024-07;5644
1;2024-08;5692
1;2024-09;5650
1;2024-10;6285
1;2024-11;5948
1;2024-12;6975
1;2025-01;8327
1;2025-02;6391
1;2025-03;6212
1;2025-04;5709
1;2025-05;5719
1;2025-06;5376
2;2024-01;3258
2;2024-02;2714
2;2024-03;2710
2;2024-04;2446
2;2024-05;2387
2;2024-06;2440
2;2024-07;2241
2;2024-08;2441
2;2024-09;2420
2;2024-10;2804
2;2024-11;2523
2;2024-12;2999
2;2025-01;3806
2;2025-02;2817
2;2025-03;2758
2;2025-04;2460
2;2025-05;2409
2;2025-06;2331
3;2024-01;3554
3;2024-02;3249
3;2024-03;3260
3;2024-04;3078
3;2024-05;3061
3;2024-06;2948
3;2024-07;2986
3;2024-08;2804
3;2024-09;2829
3;2024-10;3263
3;2024-11;3081
3;2024-12;3464
3;2025-01;4112
3;2025-02;3295
3;2025-03;3253
3;2025-04;3049
3;2025-05;2863
3;2025-06;2775
4;2024-01;2836
4;2024-02;2416
4;2024-03;2430
4;2024-04;2194
4;2024-05;2218
4;2024-06;2169
4;2024-07;2128
4;2024-08;2123
4;2024-09;2211
4;2024-10;2503
4;2024-11;2388
4;2024-12;2625
4;2025-01;3221
4;2025-02;2570
4;2025-03;2377
4;2025-04;2217
4;2025-05;2213
4;2025-06;2019
5;2024-01;5668
5;2024-02;4693
5;2024-03;4670
5;2024-04;4375
5;2024-05;4347
5;2024-06;4294
5;2024-07;4277
5;2024-08;4223
5;2024-09;4285
5;2024-10;5008
5;2024-11;4663
5;2024-12;5543
5;2025-01;6310
5;2025-02;4956
5;2025-03;4798
5;2025-04;4347
5;2025-05;4370
5;2025-06;4071
6;2024-01;5858
6;2024-02;4867
6;2024-03;4798
6;2024-04;4560
6;2024-05;4450
6;2024-06;4457
6;2024-07;4406
6;2024-08;4145
6;2024-09;4321
6;2024-10;4860
6;2024-11;4623
6;2024-12;5563
6;2025-01;6269
6;2025-02;5115
6;2025-03;5041
6;2025-04;4529
6;2025-05;4459
6;2025-06;4274
7;2024-01;8040
7;2024-02;6731
7;2024-03;6635
7;2024-04;6133
7;2024-05;6192
7;2024-06;6275
7;2024-07;6176
7;2024-08;5975
7;2024-09;5985
7;2024-10;6892
7;2024-11;6670
7;2024-12;7682
7;2025-01;8686
7;2025-02;6744
7;2025-03;6813
7;2025-04;6194
7;2025-05;6171
7;2025-06;5822
8;2024-01;3555
8;2024-02;3091
8;2024-03;3083
8;2024-04;2848
8;2024-05;2908
8;2024-06;2811
8;2024-07;2804
8;2024-08;2651
8;2024-09;2764
8;2024-10;3137
8;2024-11;2896
8;2024-12;3566
8;2025-01;3969
8;2025-02;3136
8;2025-03;3114
8;2025-04;2930
8;2025-05;2873
8;2025-06;2654
9;2024-01;7118
9;2024-02;5969
9;2024-03;5907
9;2024-04;5563
9;2024-05;5477
9;2024-06;5453
9;2024-07;5374
9;2024-08;5397
9;2024-09;5301
9;2024-10;5912
9;2024-11;5631
9;2024-12;6378
9;2025-01;7199
9;2025-02;6009
9;2025-03;6003
9;2025-04;5526
9;2025-05;5564
9;2025-06;5052
10;2024-01;6398
10;2024-02;5499
10;2024-03;5486
10;2024-04;4991
10;2024-05;5011
10;2024-06;4737
10;2024-07;5015
10;2024-08;4992
10;2024-09;4865
10;2024-10;5496
10;2024-11;5228
10;2024-12;5932
10;2025-01;6825
10;2025-02;5494
10;2025-03;5395
10;2025-04;5074
10;2025-05;4961
10;2025-06;4668
11;2024-01;3677
11;2024-02;3253
11;2024-03;3302
11;2024-04;2974
11;2024-05;3016
11;2024-06;2875
11;2024-07;2900
11;2024-08;2818
11;2024-09;2830
11;2024-10;3158
11;2024-11;3074
11;2024-12;3426
11;2025-01;4066
11;2025-02;3430
11;2025-03;3225
11;2025-04;2908
11;2025-05;2955
11;2025-06;2710
12;2024-01;5306
12;2024-02;4545
12;2024-03;4417
12;2024-04;4175
12;2024-05;4069
12;2024-06;3756
12;2024-07;4120
12;2024-08;4363
12;2024-09;4236
12;2024-10;4571
12;2024-11;4497
12;2024-12;5115
12;2025-01;5984
12;2025-02;4460
12;2025-03;4502
12;2025-04;4247
12;2025-05;4246
12;2025-06;3917
